car_name,year,selling_price,mileage_km,fuel_type,seller_type,transmission,owner,fuel_efficiency,engine_cc,max_power,torque,seats,fuel_efficiency_num,engine_cc_num,max_power_num,torque_num,brand,car_age,owner_numeric,power_per_cc,log_selling_price,price_category
Honda City i DTEC VX,2015,635000,173000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,25.1,1498.0,98.6,200.0,honda,9,0,0.06582109479305741,13.361381852676738,Mid-range
Maruti Wagon R LXI CNG,2011,200000,137000,CNG,Individual,Manual,First Owner,26.2 km/kg,998 CC,58.2 bhp,77Nm@ 3500rpm,5.0,26.2,998.0,58.2,77.0,maruti,13,0,0.058316633266533066,12.206077645517674,Budget
Maruti Wagon R LXI CNG Optional,2019,459999,35000,CNG,Individual,Manual,First Owner,26.6 km/kg,998 CC,58.16 bhp,77Nm@ 3500rpm,5.0,26.6,998.0,58.16,77.0,maruti,5,0,0.05827655310621242,13.038981768465277,Budget
Hyundai Verna CRDi 1.6 AT SX Option,2019,1200000,20000,Diesel,Individual,Automatic,First Owner,22.0 kmpl,1582 CC,126.2 bhp,259.87nm@ 1500-3000rpm,5.0,22.0,1582.0,126.2,259.87,hyundai,5,0,0.0797724399494311,13.997832948091215,Premium
Volkswagen Polo Diesel Comfortline 1.2L,2011,320000,77000,Diesel,Individual,Manual,Second Owner,22.07 kmpl,1199 CC,73.9 bhp,180Nm@ 2000rpm,5.0,22.07,1199.0,73.9,180.0,volkswagen,13,1,0.06163469557964971,12.676079399771027,Budget
Ford Fiesta EXi 1.4 TDCi Ltd,2011,260000,110000,Diesel,Individual,Manual,Second Owner,17.8 kmpl,1399 CC,68 bhp,"16.3@ 2,000(kgm@ rpm)",5.0,17.8,1399.0,68.0,16.3,ford,13,1,0.04860614724803431,12.468440756144114,Budget
Mahindra Thar CRDe AC,2014,525000,70000,Diesel,Individual,Manual,Second Owner,16.55 kmpl,2498 CC,105 bhp,247Nm@ 1800-2000rpm,6.0,16.55,2498.0,105.0,247.0,mahindra,10,1,0.042033626901521216,13.171155446333852,Mid-range
Mahindra Bolero 2011-2019 SLX,2014,465000,80000,Diesel,Individual,Manual,Second Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,15.96,2523.0,62.1,195.0,mahindra,10,1,0.02461355529131986,13.049794835104816,Budget
Skoda Rapid 1.5 TDI Ambition BSIV,2018,900000,35000,Diesel,Individual,Manual,First Owner,21.13 kmpl,1498 CC,108.6 bhp,250Nm@ 1500-2500rpm,5.0,21.13,1498.0,108.6,250.0,skoda,6,0,0.07249666221628838,13.710151153416941,Mid-range
Tata Manza Aura Quadrajet,2011,229999,110000,Diesel,Individual,Manual,Second Owner,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5.0,18.8,1248.0,90.0,200.0,tata,13,1,0.07211538461538461,12.345834587905333,Budget
Tata Zest Revotron 1.2 XT,2015,325000,50000,Petrol,Individual,Manual,First Owner,17.57 kmpl,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5.0,17.57,1193.0,88.7,140.0,tata,9,0,0.07435037720033529,12.691583538230217,Budget
Hyundai Creta 1.6 CRDi SX Option,2017,1250000,90000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0,19.67,1582.0,126.2,259.9,hyundai,7,0,0.0797724399494311,14.038654909278163,Premium
Maruti Celerio ZXI AT,2016,350000,17000,Petrol,Individual,Automatic,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,23.1,998.0,67.04,90.0,maruti,8,0,0.06717434869739479,12.765691290604371,Budget
Maruti Alto 800 LXI,2013,200000,50000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,22.74,796.0,47.3,69.0,maruti,11,0,0.059422110552763814,12.206077645517674,Budget
Nissan Micra XL Optional,2015,346000,36422,Petrol,Dealer,Manual,First Owner,18.44 kmpl,1198 CC,75 bhp,104Nm@ 4000rpm,5.0,18.44,1198.0,75.0,104.0,nissan,9,0,0.06260434056761269,12.754196944209095,Budget
Toyota Etios 1.5 V,2011,285000,45500,Petrol,Dealer,Manual,First Owner,16.78 kmpl,1496 CC,88.73 bhp,132Nm@ 3000rpm,5.0,16.78,1496.0,88.73,132.0,toyota,13,0,0.05931149732620321,12.560247968016562,Budget
Hyundai Grand i10 CRDi Asta,2014,380000,50000,Diesel,Individual,Manual,Second Owner,24.0 kmpl,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5.0,24.0,1120.0,70.0,160.0,hyundai,10,1,0.0625,12.847929163278053,Budget
Maruti Swift VDI,2018,671000,62000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,28.4,1248.0,74.0,190.0,maruti,6,0,0.05929487179487179,13.416525906265674,Mid-range
Mahindra XUV500 W8 2WD,2014,750000,90000,Diesel,Individual,Manual,Second Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,15.1,2179.0,140.0,330.0,mahindra,10,1,0.06424965580541533,13.527829818844937,Mid-range
Mahindra Bolero 2011-2019 Plus Non AC,2013,500000,120000,Diesel,Individual,Manual,Third Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1440-2200rpm,9.0,15.96,2523.0,62.1,195.0,mahindra,11,2,0.02461355529131986,13.122365377402328,Budget
Tata Manza Aura (ABS) Quadrajet BS IV,2011,275000,50000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5.0,21.12,1248.0,88.8,200.0,tata,13,0,0.07115384615384615,12.524530013005734,Budget
Tata New Safari Dicor VX 4X2 BS IV,2009,150000,90000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0,13.93,2179.0,138.1,320.0,tata,15,1,0.06337769619091325,11.918397239722838,Budget
Mahindra Bolero SLX,2010,421000,120000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0,13.6,2523.0,63.0,180.0,mahindra,14,1,0.02497027348394768,12.95039048795861,Budget
Toyota Innova Crysta 2.4 VX MT BSIV,2016,1670000,25000,Diesel,Individual,Manual,Second Owner,13.68 kmpl,2393 CC,147.8 bhp,343Nm@ 1400-2800rpm,7.0,13.68,2393.0,147.8,343.0,toyota,8,1,0.06176347680735479,14.328334783195153,Premium
Maruti Baleno Zeta 1.2,2017,625000,15000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0,21.4,1197.0,83.1,115.0,maruti,7,0,0.06942355889724311,13.345508528717259,Mid-range
Ford Figo Diesel EXI,2012,220000,100000,Diesel,Individual,Manual,Second Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5.0,20.0,1399.0,68.0,160.0,ford,12,1,0.04860614724803431,12.301387370778713,Budget
Maruti Ritz LDi,2016,350000,120000,Diesel,Individual,Manual,Third Owner,23.2 kmpl,1248 CC,73.94 bhp,190Nm@ 2000rpm,5.0,23.2,1248.0,73.94,190.0,maruti,8,2,0.05924679487179487,12.765691290604371,Budget
Hyundai Santro Xing GLS,2010,200000,90000,Petrol,Individual,Manual,First Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0,17.92,1086.0,62.1,96.1,hyundai,14,0,0.057182320441988954,12.206077645517674,Budget
Maruti A-Star Vxi,2011,204999,60000,Petrol,Individual,Manual,First Owner,19.0 kmpl,998 CC,66.1 bhp,90Nm@ 3500rpm,5.0,19.0,998.0,66.1,90.0,maruti,13,0,0.06623246492985971,12.230765258120545,Budget
Mercedes-Benz E-Class E 250 Elegance,2011,1190000,80000,Petrol,Individual,Automatic,Second Owner,10.93 kmpl,2497 CC,204 bhp,245Nm@ 5000rpm,5.0,10.93,2497.0,204.0,245.0,mercedes-benz,13,1,0.0816980376451742,13.989464705423494,Premium
Maruti Swift Dzire VDI,2015,610000,60000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,26.59,1248.0,74.0,190.0,maruti,9,0,0.05929487179487179,13.321215875492413,Mid-range
Maruti Ritz VDi,2013,240000,142000,Diesel,Individual,Manual,Second Owner,23.2 kmpl,1248 CC,73.94 bhp,190Nm@ 2000rpm,5.0,23.2,1248.0,73.94,190.0,maruti,11,1,0.05924679487179487,12.388398368982115,Budget
Maruti Alto LX,2007,110000,120000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,796.0,46.3,62.0,maruti,17,1,0.05816582914572864,11.608244735642321,Budget
Mahindra NuvoSport N8,2016,650000,130000,Diesel,Individual,Manual,First Owner,17.45 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0,17.45,1493.0,100.0,240.0,mahindra,8,0,0.06697923643670463,13.384729180332174,Mid-range
Ford Fiesta Titanium 1.5 TDCi,2013,300000,60000,Diesel,Individual,Manual,Second Owner,23.5 kmpl,1498 CC,90 bhp,204Nm@ 2000-2750rpm,5.0,23.5,1498.0,90.0,204.0,ford,11,1,0.06008010680907877,12.611541086966115,Budget
Maruti Alto LXi BSIII,2007,120000,53512,Petrol,Dealer,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,796.0,46.3,62.0,maruti,17,1,0.05816582914572864,11.695255355062795,Budget
Renault KWID RXL,2016,220000,90000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0,25.17,799.0,53.3,72.0,renault,8,0,0.06670838548185232,12.301387370778713,Budget
Isuzu D-Max V-Cross Z Prestige,2019,1900000,30000,Diesel,Individual,Automatic,First Owner,12.4 kmpl,1999 CC,147.9 bhp,350nm@ 1800-2600rpm,5.0,12.4,1999.0,147.9,350.0,isuzu,5,0,0.07398699349674838,14.45736497045232,Premium
Renault KWID RXT,2016,254999,30000,Petrol,Individual,Manual,Third Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0,25.17,799.0,53.3,72.0,renault,8,2,0.06670838548185232,12.449018824140563,Budget
Hyundai i20 2015-2017 Asta Option 1.4 CRDi,2016,780000,35000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0,22.54,1396.0,88.73,219.7,hyundai,8,0,0.06356017191977077,13.567050480716235,Mid-range
Hyundai EON Era Plus,2011,180000,80000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,21.1,814.0,55.2,74.5,hyundai,13,1,0.06781326781326781,12.100717685412471,Budget
Toyota Innova 2.5 VX 7 STR,2011,550000,250000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7.0,12.8,2494.0,102.0,20.4,toyota,13,1,0.0408981555733761,13.217675375388819,Mid-range
Tata Indica Vista Terra 1.4 TDI,2010,180000,120000,Diesel,Individual,Manual,First Owner,17.0 kmpl,1405 CC,71 bhp,135Nm@ 2500rpm,5.0,17.0,1405.0,71.0,135.0,tata,14,0,0.050533807829181494,12.100717685412471,Budget
Maruti Wagon R VXI BS IV,2014,330000,22000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,20.51,998.0,67.04,90.0,maruti,10,0,0.06717434869739479,12.706850963741102,Budget
Maruti Swift Dzire VDi,2010,300000,120000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0,19.3,1248.0,73.9,190.0,maruti,14,1,0.059214743589743594,12.611541086966115,Budget
Hyundai i10 Era,2012,265000,20000,Petrol,Individual,Manual,Third Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0,19.81,1086.0,68.05,99.04,hyundai,12,2,0.06266114180478821,12.487488878546145,Budget
Tata Indica Vista TDI LX,2012,260000,46000,Diesel,Individual,Manual,First Owner,19.4 kmpl,1405 CC,70 bhp,135.4Nm@ 2500rpm,5.0,19.4,1405.0,70.0,135.4,tata,12,0,0.0498220640569395,12.468440756144114,Budget
Renault KWID AMT,2018,400000,25000,Petrol,Individual,Automatic,First Owner,24.04 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5.0,24.04,999.0,67.0,91.0,renault,6,0,0.06706706706706707,12.899222326086994,Budget
Maruti Celerio ZXI MT BSIV,2017,484999,10000,Petrol,Dealer,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,23.1,998.0,67.04,90.0,maruti,7,0,0.06717434869739479,13.091904169919621,Budget
Volkswagen Vento Diesel Highline,2011,300000,120000,Diesel,Individual,Manual,Third Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0,20.54,1598.0,103.6,250.0,volkswagen,13,2,0.06483103879849812,12.611541086966115,Budget
Maruti Wagon R VXI BS IV with ABS,2013,260000,50000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,18.9,998.0,67.1,90.0,maruti,11,1,0.06723446893787574,12.468440756144114,Budget
Maruti Alto K10 VXI,2019,350000,15000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,23.95,998.0,67.05,90.0,maruti,5,0,0.06718436873747495,12.765691290604371,Budget
Renault KWID RXT,2017,320000,28000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0,25.17,799.0,53.3,72.0,renault,7,0,0.06670838548185232,12.676079399771027,Budget
Fiat Avventura Power Up 1.3 Emotion,2015,500000,96500,Diesel,Individual,Manual,First Owner,20.5 kmpl,1248 CC,91.72 bhp,209Nm@ 2000rpm,5.0,20.5,1248.0,91.72,209.0,fiat,9,0,0.07349358974358974,13.122365377402328,Budget
Ford Figo Diesel Celebration Edition,2013,325000,120000,Diesel,Individual,Manual,Second Owner,20.0 kmpl,1399 CC,68.1 bhp,160Nm@ 2000rpm,5.0,20.0,1399.0,68.1,160.0,ford,11,1,0.04867762687634024,12.691583538230217,Budget
Mahindra Bolero 2011-2019 ZLX,2012,450000,165000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,15.96,2523.0,62.1,195.0,mahindra,12,0,0.02461355529131986,13.017005083966255,Budget
Maruti Celerio VXI,2019,484999,4875,Petrol,Dealer,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,21.63,998.0,67.04,90.0,maruti,5,0,0.06717434869739479,13.091904169919621,Budget
Mahindra Bolero SLX 4WD BSIII,2008,250000,200000,Diesel,Individual,Manual,First Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0,13.6,2523.0,63.0,180.0,mahindra,16,0,0.02497027348394768,12.429220196836383,Budget
Datsun GO Plus T Option BSIV,2016,350000,50000,Petrol,Individual,Manual,First Owner,19.44 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,7.0,19.44,1198.0,67.0,104.0,datsun,8,0,0.055926544240400666,12.765691290604371,Budget
Maruti Vitara Brezza VDi Option,2017,725000,50000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,24.3,1248.0,88.5,200.0,maruti,7,0,0.07091346153846154,13.493928313146206,Mid-range
Hyundai Santro Xing GLS,2009,150000,77000,Petrol,Individual,Manual,First Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0,17.92,1086.0,62.1,96.1,hyundai,15,0,0.057182320441988954,11.918397239722838,Budget
Mahindra Scorpio VLX 2WD AT BSIII,2014,800000,80000,Diesel,Individual,Automatic,First Owner,11.79 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0,11.79,2179.0,120.0,290.0,mahindra,10,0,0.05507113354749885,13.592368256649284,Mid-range
Tata Indigo LX,2007,150000,120000,Diesel,Individual,Manual,Second Owner,17.0 kmpl,1405 CC,70 bhp,"13.5@ 2,500(kgm@ rpm)",5.0,17.0,1405.0,70.0,13.5,tata,17,1,0.0498220640569395,11.918397239722838,Budget
Hyundai Verna 1.6 VGT CRDi,2012,425000,100000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0,22.32,1582.0,126.32,259.8,hyundai,12,1,0.07984829329962073,12.959846800844963,Budget
Maruti Swift VDI BSIV,2014,520000,70000,Diesel,Individual,Manual,Second Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,25.2,1248.0,74.0,190.0,maruti,10,1,0.05929487179487179,13.161586013632684,Mid-range
Maruti Omni MPI STD BSIV,2016,240000,40000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,5.0,16.8,796.0,34.2,59.0,maruti,8,0,0.04296482412060302,12.388398368982115,Budget
Mahindra XUV500 W8 4WD,2012,675000,120000,Diesel,Individual,Manual,Second Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,15.1,2179.0,140.0,330.0,mahindra,12,1,0.06424965580541533,13.42246945133505,Mid-range
Maruti 800 Std,1995,55000,70000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,16.1,796.0,37.0,59.0,maruti,29,0,0.04648241206030151,10.915106645867503,Budget
Honda Brio V MT,2012,250000,97000,Petrol,Individual,Manual,Second Owner,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5.0,19.4,1198.0,86.8,109.0,honda,12,1,0.07245409015025041,12.429220196836383,Budget
Honda City 1.5 S MT,2011,421000,105000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1497 CC,118 bhp,146Nm at 4800 rpm,5.0,17.0,1497.0,118.0,146.0,honda,13,0,0.0788243152972612,12.95039048795861,Budget
Renault KWID 1.0 RXT Optional,2016,315000,60000,Petrol,Individual,Manual,Second Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5.0,23.01,999.0,67.0,91.0,renault,8,1,0.06706706706706707,12.660331092405906,Budget
Tata Zest Quadrajet 1.3 XMS,2014,280000,60000,Diesel,Individual,Manual,Second Owner,23.0 kmpl,1248 CC,88.7 bhp,200Nm@ 1750-3000rpm,5.0,23.0,1248.0,88.7,200.0,tata,10,1,0.07107371794871795,12.54254845357358,Budget
Ford Figo Diesel EXI,2011,240000,72000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5.0,20.0,1399.0,68.0,160.0,ford,13,0,0.04860614724803431,12.388398368982115,Budget
Maruti Ertiga ZXI Plus Petrol,2018,900000,25000,Petrol,Individual,Manual,First Owner,19.34 kmpl,1462 CC,103 bhp,138Nm@ 4400rpm,7.0,19.34,1462.0,103.0,138.0,maruti,6,0,0.0704514363885089,13.710151153416941,Mid-range
Skoda Rapid 1.5 TDI AT Ambition,2016,660000,78010,Diesel,Dealer,Automatic,First Owner,21.66 kmpl,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5.0,21.66,1498.0,103.52,250.0,skoda,8,0,0.06910547396528705,13.399996629152975,Mid-range
Tata Sumo GX,2012,250000,80000,Diesel,Individual,Manual,Fourth & Above Owner,15.3 kmpl,2956 CC,83.8 bhp,250Nm@ 1000-2000rpm,7.0,15.3,2956.0,83.8,250.0,tata,12,3,0.02834912043301759,12.429220196836383,Budget
Maruti Swift Dzire VXI 1.2,2020,730000,1500,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,21.21,1197.0,81.8,113.0,maruti,4,0,0.0683375104427736,13.500801182986649,Mid-range
Tata Indica V2 DLS TC,2006,110000,88000,Diesel,Individual,Manual,Second Owner,16.8 kmpl,1405 CC,62 bhp,"12.5@ 2,500(kgm@ rpm)",5.0,16.8,1405.0,62.0,12.5,tata,18,1,0.04412811387900356,11.608244735642321,Budget
Mahindra Scorpio S2 7 Seater,2015,680000,90000,Diesel,Individual,Manual,First Owner,15.4 kmpl,2523 CC,75 bhp,200Nm@ 1400-2200rpm,7.0,15.4,2523.0,75.0,200.0,mahindra,9,0,0.029726516052318668,13.429849547739444,Mid-range
Tata Tiago 1.2 Revotron XZ WO Alloy,2018,560000,26300,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,23.84,1199.0,84.0,114.0,tata,6,0,0.07005838198498748,13.235693848424024,Mid-range
Maruti Ertiga BSIV LXI,2017,600000,35000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1373 CC,91.1 bhp,130Nm@ 4000rpm,7.0,17.5,1373.0,91.1,130.0,maruti,7,0,0.0663510560815732,13.304686600863562,Mid-range
Mahindra Quanto C8,2012,300000,210000,Diesel,Individual,Manual,First Owner,17.21 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0,17.21,1493.0,100.0,240.0,mahindra,12,0,0.06697923643670463,12.611541086966115,Budget
Hyundai Verna 1.6 VTVT,2013,400000,70000,Petrol,Individual,Manual,First Owner,17.01 kmpl,1591 CC,121.3 bhp,154.9Nm@ 4200rpm,5.0,17.01,1591.0,121.3,154.9,hyundai,11,0,0.07624135763670647,12.899222326086994,Budget
Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,2012,540000,90000,Diesel,Individual,Manual,Third Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0,12.05,2179.0,120.0,290.0,mahindra,12,2,0.05507113354749885,13.199326270390594,Mid-range
Maruti Ciaz 1.3 Alpha,2018,825000,82000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,28.09,1248.0,88.5,200.0,maruti,6,0,0.07091346153846154,13.623139877437296,Mid-range
Volkswagen Vento Petrol Highline,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5.0,15.04,1598.0,103.6,153.0,volkswagen,12,1,0.06483103879849812,13.190023895035274,Mid-range
Mahindra Xylo D2,2009,121000,100000,Diesel,Individual,Manual,Second Owner,13.0 kmpl,2489 CC,95 bhp,220Nm at 1400-2600 rpm,8.0,13.0,2489.0,95.0,220.0,mahindra,15,1,0.03816793893129771,11.703554089007538,Budget
Maruti Zen LX,2003,58000,170000,Petrol,Individual,Manual,Third Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5.0,17.3,993.0,60.0,78.0,maruti,21,2,0.06042296072507553,10.968215530759236,Budget
Mahindra KUV 100 mFALCON D75 K2,2017,450000,120000,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6.0,25.32,1198.0,77.0,190.0,mahindra,7,0,0.0642737896494157,13.017005083966255,Budget
Chevrolet Sail Hatchback Diesel,2013,225000,100000,Diesel,Individual,Manual,Second Owner,22.1 kmpl,1248 CC,76.9 bhp,205Nm@ 1750rpm,5.0,22.1,1248.0,76.9,205.0,chevrolet,11,1,0.06161858974358975,12.323860125621126,Budget
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7.0,11.36,2755.0,171.5,360.0,toyota,8,1,0.062250453720508164,14.23750562376114,Premium
Maruti Swift Dzire VDI,2018,680000,120000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0,28.4,1248.0,74.02,190.0,maruti,6,0,0.05931089743589743,13.429849547739444,Mid-range
Tata Manza Aura (ABS) Quadrajet,2010,246000,120000,Diesel,Individual,Manual,First Owner,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5.0,18.8,1248.0,90.0,200.0,tata,14,0,0.07211538461538461,12.413090879946887,Budget
Chevrolet Beat Diesel,2013,200000,60000,Diesel,Individual,Manual,Second Owner,25.44 kmpl,936 CC,57.6 bhp,150Nm@ 1750rpm,5.0,25.44,936.0,57.6,150.0,chevrolet,11,1,0.06153846153846154,12.206077645517674,Budget
Nissan Sunny XV D,2017,580000,90000,Diesel,Individual,Manual,Second Owner,22.71 kmpl,1461 CC,84.8 bhp,200Nm@ 2000rpm,5.0,22.71,1461.0,84.8,200.0,nissan,7,1,0.05804243668720054,13.270785106659046,Mid-range
Maruti Alto LXi,2006,94500,44000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,796.0,46.3,62.0,maruti,18,0,0.05816582914572864,11.456365695436427,Budget
Hyundai i10 Magna,2010,260000,60000,Petrol,Individual,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,20.36,1197.0,78.9,111.7,hyundai,14,0,0.06591478696741855,12.468440756144114,Budget
Mahindra KUV 100 mFALCON G80 K8 Dual Tone,2017,430000,20000,Petrol,Individual,Manual,Second Owner,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm,6.0,18.15,1198.0,82.0,115.0,mahindra,7,1,0.06844741235392321,12.971542813248437,Budget
Mahindra XUV500 W8 4WD,2012,650000,80000,Diesel,Individual,Manual,Third Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,15.1,2179.0,140.0,330.0,mahindra,12,2,0.06424965580541533,13.384729180332174,Mid-range
Toyota Innova 2.5 V Diesel 7-seater,2011,800000,197000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7.0,12.8,2494.0,102.0,20.4,toyota,13,0,0.0408981555733761,13.592368256649284,Mid-range
Maruti Swift Dzire VXI 1.2,2017,550000,20000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,21.21,1197.0,81.8,113.0,maruti,7,0,0.0683375104427736,13.217675375388819,Mid-range
Maruti Alto K10 VXI,2014,215000,80000,Petrol,Individual,Manual,Second Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,23.95,998.0,67.05,90.0,maruti,10,1,0.06718436873747495,12.278397958261774,Budget
Maruti Celerio ZXI Optional,2014,415000,46000,Petrol,Dealer,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,21.63,998.0,67.04,90.0,maruti,10,0,0.06717434869739479,12.936036208848487,Budget
Honda Jazz VX CVT,2019,840000,1500,Petrol,Individual,Automatic,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0,18.2,1199.0,88.7,110.0,honda,5,0,0.07397831526271893,13.641158361294979,Mid-range
Mahindra Bolero 2011-2019 SLX,2012,500000,76000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,15.96,2523.0,62.1,195.0,mahindra,12,0,0.02461355529131986,13.122365377402328,Budget
